Subj;TSC1;TSC2;TSC3;TSC4;TSC5;TSC6;TSC7;TSC8;TSC9;TSC10;TSC11;TSC12;TSC13;CRT1;CRT2;CRT3;PQ1;PQ2;PQ3;PQ4;PQ5;PQ6;PQ7;PQ8;PQ9;PQ10;PQ11;PQ12;PQ13;PQ14;PQ15;PQ16;PQ17;PQ18;PQ19;PQ20;PQ21;PQ22;PQ23;PQ24
180;4;3;3;2;3;4;3;1;3;2;3;1;2;5;5;47;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;2;1;1;1;2;2;2;2;1
155;3;5;3;5;5;1;4;3;4;5;4;4;2;5;5;47;1;1;2;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1
170;4;3;4;3;4;2;4;3;4;5;4;2;3;5;100;6;;;;;;;;;;;;;;;;;;;;;;;;
161;4;3;1;1;2;4;4;3;1;1;4;2;2;5;5;24;1;2;2;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;1;2;1;2
172;2;3;3;2;5;2;4;2;4;3;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;5;3;4;2;2;3;4;5;5;5;3;2;2;10;100;47;1;1;1;1;2;2;2;1;1;1;2;1;2;1;1;2;1;2;1;2;2;1;2;1
147;4;3;4;3;3;2;3;4;4;3;3;4;2;5;5;47;;;;;;;;;;;;;;;;;;;;;;;;
162;1;5;5;1;4;2;5;1;5;5;3;5;4;5;5;47;1;1;1;1;1;2;1;2;1;1;2;2;1;1;2;2;1;2;2;1;2;1;2;1
999;3;3;3;1;2;5;2;3;3;2;3;1;1;10;100;47;1;1;1;1;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;2;1;2;1;1
156;2;3;1;3;5;2;4;2;4;3;4;5;4;10;100;47;;;;;;;;;;;;;;;;;;;;;;;;
131;3;4;1;5;4;2;1;5;2;1;5;4;4;5;5;;1;1;1;1;1;2;1;2;1;1;1;1;2;2;1;2;1;1;1;1;2;1;2;1
154;2;4;2;2;2;4;3;2;4;4;4;4;2;10;100;47;1;2;1;2;2;2;2;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;1
137;3;4;2;4;3;4;4;4;3;2;4;4;3;5;5;47;1;1;1;1;2;1;1;2;1;2;1;2;2;1;1;2;1;1;1;1;2;2;;1
148;4;2;2;3;3;3;3;3;3;2;3;3;2;5;5;47;1;2;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1
113;2;5;1;5;4;4;2;5;2;2;5;3;1;5;5;47;1;1;2;1;1;2;1;1;1;1;1;2;2;1;2;2;1;1;2;2;2;2;2;1
116;4;2;3;1;1;4;2;3;3;2;4;1;1;10;100;24;;;;;;;;;;;;;;;;;;;;;;;;
122;4;2;2;1;1;4;5;2;4;4;3;4;2;10;100;24;1;1;1;1;2;2;2;2;1;2;1;1;2;2;1;1;1;1;1;1;1;2;1;1
105;4;3;2;2;4;3;3;4;4;2;4;4;3;5;5;36;;;;;;;;;;;;;;;;;;;;;;;;
107;3;4;3;4;4;3;4;2;4;3;4;2;3;5;5;47;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2;1;2;2;2;2;2;1
165;4;3;2;2;4;4;3;2;4;3;4;4;4;10;100;24;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;2;2;2;1
211;4;4;2;2;4;2;5;4;3;2;4;4;3;5;20;47;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;1
198;4;1;1;1;1;3;2;2;1;1;4;1;1;10;5;47;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1
228;2;5;2;1;4;2;3;1;1;2;1;2;3;5;100;47;1;1;1;2;2;1;2;2;2;1;1;1;1;2;1;1;1;1;1;2;2;1;2;1
217;4;5;1;3;4;1;2;4;3;2;5;4;1;10;100;47;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;2;2;2;2;1
226;2;2;3;4;3;4;4;3;4;4;5;2;1;10;5;47;1;2;1;2;2;1;2;2;1;1;2;1;2;2;1;2;1;2;1;1;1;1;2;2
112;3;3;4;2;2;5;4;3;3;4;3;2;3;10;100;47;1;2;1;2;1;2;1;2;2;1;2;1;2;2;1;1;1;1;2;1;1;1;1;2
104;3;4;4;2;3;4;2;4;3;3;3;2;3;5;5;47;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;2;2;2;2
193;4;2;3;3;3;4;2;3;3;3;4;3;2;5;5;47;2;1;2;1;2;2;1;2;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2
202;4;2;1;3;3;4;2;4;2;2;5;1;1;5;5;47;;;;;;;;;;;;;;;;;;;;;;;;
204;4;3;2;2;3;4;3;3;3;3;4;2;2;5;100;7;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;1;1
119;4;3;4;1;2;2;3;2;4;4;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;4;3;2;3;4;3;1;4;2;1;5;1;2;5;5;47;2;2;1;1;2;2;1;2;1;2;2;2;1;1;2;2;1;1;1;1;2;2;1;2
195;4;2;2;2;2;3;2;2;4;2;5;2;1;10;100;24;2;2;1;1;2;2;1;2;2;2;1;2;2;1;1;2;1;1;2;1;2;2;2;1
218;4;1;1;2;3;2;1;4;2;2;4;1;1;5;1;24;;;;;;;;;;;;;;;;;;;;;;;;
190;3;2;4;3;3;3;3;3;3;3;3;2;2;10;100;24;1;1;1;1;2;2;1;2;1;2;1;2;2;1;1;2;1;1;1;1;2;2;1;1
220;4;3;3;1;2;4;3;3;2;2;3;1;2;5;20;47;1;1;1;1;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;2;1;2;1;1
157;4;4;4;3;3;4;1;4;2;2;3;2;3;5;5;47;1;2;1;2;1;2;2;2;1;1;1;2;2;2;1;1;1;1;2;1;1;1;2;1
201;3;3;2;2;2;2;2;2;4;2;4;4;3;10;100;24;1;1;2;1;2;2;1;1;1;2;2;1;2;1;1;1;1;1;2;1;1;2;1;1
127;4;1;1;3;3;3;2;4;2;1;4;2;3;5;5;47;2;1;2;1;2;1;2;1;1;2;1;2;1;1;2;2;2;1;2;1;2;2;2;1
149;3;3;3;3;2;2;4;3;4;3;3;2;2;10;100;24;2;1;1;1;1;1;2;2;1;1;1;2;2;1;2;2;1;1;2;1;2;1;1;1
210;3;2;2;1;3;4;4;3;4;2;4;3;2;5;5;47;1;2;1;1;1;2;1;2;2;2;2;1;2;2;2;1;1;2;1;2;1;2;1;2
212;4;3;3;4;4;4;5;2;4;3;4;4;5;5;5;47;2;1;1;1;2;1;1;2;1;2;1;2;2;1;1;2;2;1;2;1;2;2;2;1
203;4;4;4;3;4;3;3;2;2;5;3;3;1;5;5;47;1;1;1;1;2;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1
141;4;3;5;5;5;1;4;2;5;5;3;5;5;10;100;24;1;1;2;1;2;2;1;2;1;1;2;2;2;1;2;2;1;1;2;1;2;2;2;1
166;3;3;5;1;3;2;1;4;3;2;4;4;2;10;100;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;2;1;2;2;1;2;1
185;3;2;1;2;3;2;3;3;3;2;4;2;3;;;;1;2;1;1;2;2;1;1;2;2;1;2;2;2;1;2;1;1;1;1;1;2;1;1
196;2;4;2;2;3;4;3;2;4;2;3;3;3;10;100;24;1;1;2;1;2;2;2;1;2;1;1;2;2;1;1;2;1;2;1;2;2;2;2;1
